epoch,lr-Adam,step,train_loss
,0.0001,0,
0,,49,1.109489917755127
0,,99,0.6258198618888855
0,,149,0.6711602807044983
0,,199,0.507621705532074
0,,249,0.3792138993740082
0,,299,0.5605645179748535
0,,349,0.5513426065444946
0,,399,0.3149372935295105
0,,449,0.4123437702655792
0,,499,0.5263622999191284
0,,549,0.3671894669532776
0,,599,0.994869589805603
0,,649,0.266369491815567
0,,699,0.36170694231987
0,,749,0.4680859446525574
0,,799,0.4531572163105011
0,,849,0.32889461517333984
0,,899,0.3169163763523102
0,,949,0.3475659191608429
0,,999,0.3777351677417755
0,,1049,0.2955308258533478
0,,1099,0.4204303026199341
0,,1149,1.1274144649505615
0,,1199,0.33878952264785767
0,,1249,0.3585817515850067
0,,1299,0.27900877594947815
0,,1349,0.42312049865722656
0,,1399,0.29424333572387695
0,,1449,0.2625572085380554
0,,1499,0.31310102343559265
0,,1549,0.3256867527961731
0,,1599,1.1038774251937866
0,,1649,0.26149410009384155
0,,1699,0.31943532824516296
0,,1749,0.31511229276657104
0,,1799,0.32918351888656616
0,,1849,0.5360441207885742
0,,1899,0.46293148398399353
0,,1949,0.44403403997421265
